playlist_id,playlist_owner,playlist,id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key_confidence,mode_confidence,tempo_confidence,time_signature_confidence,end_of_fade_in,start_of_fade_out,mood
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,2jwaErbghhcia4JqUYWz3g,Days Go By,0.0633,0.589,224630,0.892,0,2,0.149,-3.197,1,0.0365,131.951,4,0.76,0.69,0.722,0.841,0.817,0,211.67891,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,02tKAxBF9EazkMi4pBXb3o,Underwater - Leossa Remix,0.112,0.679,224727,0.818,0.0285,2,0.0911,-6.955,1,0.0433,123.989,4,0.325,0.768,0.706,0.705,1,0.07782,217.43166,Chill
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,2KKijf6Ett4kmVNJze2roh,The Git Up,0.0669,0.847,200594,0.678,0,9,0.274,-8.635,1,0.109,97.984,4,0.811,0.132,0.198,0.47,1,0,194.4497,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,3pCt2wRdBDa2kCisIdHWgF,To the Bone,0.514,0.668,344571,0.727,0.000019,7,0.1,-6.55,0,0.027,139.991,4,0.939,0.261,0.449,0.826,1,0,340.67157,Angry
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,498ZVInMGDkmmNVpSWqHiZ,May We All,0.0409,0.514,226173,0.918,0,7,0.342,-4.306,1,0.0365,150.033,4,0.64,0.449,0.673,0.1,1,0.16413,214.32599,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,6tkHWTety7Wd4Fv4oyGAcz,i think you're cool,0.201,0.618,213624,0.662,0.0418,7,0.113,-7.724,1,0.056,92.032,4,0.254,0.263,0.538,0.27,0.911,0,207.33098,Chill
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,1w9L6dvttZalWd8XqFYvSa,Isabelle,0.196,0.678,135000,0.716,0,10,0.102,-4.403,1,0.0342,109.981,4,0.627,0.494,0.525,0.746,1,0.23819,128.65016,Angry
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,0gY2iq0xJPRoIB1PScKSw4,Honey Bee,0.00167,0.481,210720,0.849,0.00000149,4,0.121,-5.131,1,0.0385,205.57,4,0.723,0.427,0.497,0.07,1,0.56866,196.4234,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,0GK4ZRf8VCGhS9qtVSNjbj,Ozon,0.902,0.539,194029,0.449,0.92,7,0.0991,-16.465,0,0.0491,123.064,4,0.0397,0.36,0.485,0.386,1,0,182.44499,Chill
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,00fjo9x6qJTFwARfpQYijD,Country Stuff (feat. Jake Owen),0.0827,0.684,154587,0.779,0,7,0.34,-7.028,1,0.134,95.988,4,0.632,0.469,0.414,0.436,1,0.30676,149.05469,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,47EWMOElkkbMp5m9SBkx7d,IDK You Yet,0.884,0.629,184638,0.306,0.0776,1,0.124,-11.735,1,0.0424,76.994,1,0.191,0.301,0.476,0.04,0.674,0,177.02893,Angry
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,7u3tmftMEaOYqYE6fUnNmX,8 Hours  Still No Rain,0.924,0.383,182901,0.21,0.95,6,0.0937,-17.512,1,0.0352,119.997,4,0.0547,0.352,0.458,0.237,0.508,2.91991,168.7278,Chill
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,6cjwec9ii5uLK7CDfPBYt1,Wide Open Spaces,0.577,0.563,223832,0.544,0,4,0.128,-6.102,1,0.0306,179.351,4,0.602,0.774,0.682,0.162,0.966,0.35932,212.09106,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,05ABOPiW13nqIedJfqmfPM,rubberband,0.32,0.64,147713,0.593,0,10,0.104,-6.068,1,0.0431,155.08,4,0.432,0.404,0.468,0.166,0.945,0.12159,139.1804,Angry
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,2PMiXyCDik39WiEYvV2wbk,Never,0.109,0.428,233729,0.656,0.81,7,0.098,-7.67,1,0.0378,122.006,4,0.206,0.694,0.704,0.577,0.995,0,223.48045,Chill
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,0.455,0.537,298373,0.66,0,9,0.135,-7.174,1,0.0296,148.096,4,0.574,0.754,0.735,0.793,0.668,0.36599,286.035,Energetic
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,16zKFMyWWEy6eo0L1ez59R,Hooch,0.0399,0.653,144998,0.679,0,7,0.325,-6.268,0,0.0529,136.067,4,0.744,0.215,0.206,0.679,0.471,0.15664,139.7551,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,1BbXlbs8pWeYI2yGpGhuzA,Erase,0.47,0.279,253240,0.542,0.601,1,0.0888,-11.962,1,0.0494,123.846,4,0.163,0.717,0.616,0.254,1,0.16703,247.32735,Chill
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,5kcvBnt6DPX3AMEsCx1qDh,Happiest Year,0.885,0.501,228443,0.167,0,1,0.111,-14.061,1,0.0484,112.275,3,0.356,0.71,0.78,0.094,0.045,0.22077,205.07864,Angry
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,49oBFP6ZHPtd6t33LFTD3E,Good Vibes,0.022,0.582,165587,0.846,0,0,0.133,-2.771,1,0.0451,92.004,4,0.736,0.761,0.64,0.15,1,0.16844,160.62984,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,0ycteGsaJrAlhOh1hEBH5X,MINDGAMES - (JYRYMY REMIX),0.574,0.625,235537,0.566,0.0053,1,0.0999,-7.877,1,0.206,121.085,4,0.181,0.256,0.46,0.694,0.983,0.06467,230.71927,Chill
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,1yoKxDLsg38FSRJv60NIo3,County Roads,0.0463,0.658,191765,0.813,0,8,0.388,-3.305,1,0.0486,116.06,4,0.518,0.95,0.741,0.737,0.92,0.20295,188.42413,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,727Z2S2mtNH46CbP9EWPwY,If You Love Her,0.355,0.286,217352,0.445,0,6,0.114,-8.087,1,0.0347,50.827,4,0.278,0.569,0.599,0.027,0.17,0.36571,211.33061,Angry
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,44xWtabQzBHKXxD0UVLSNQ,Last Name,0.194,0.395,241053,0.869,0,3,0.0874,-3.154,1,0.109,159.833,4,0.688,0.345,0.517,0.321,0.829,0.16834,237.01189,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,5J54xW5p85niQOxeq7GiD5,Silence,0.0492,0.59,245881,0.792,0.867,0,0.127,-8.376,0,0.0461,121.033,4,0.05,0.387,0.413,0.512,0.886,0.22186,241.02313,Chill
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,4nzBST9JdZIy9qfilr93Po,aftermath,0.018,0.617,166610,0.38,0,9,0.112,-9.275,1,0.0361,116.961,4,0.192,0.279,0.43,0.49,0.865,0.07075,162.30168,Angry
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,53Dj5PCDhb22qWqmre3YQs,Aw Naw,0.0639,0.652,188707,0.859,0,2,0.0777,-3.746,1,0.0358,109.971,4,0.491,0.275,0.509,0.919,0.712,0.49909,182.97324,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,77yuMisqclmt9pq5MnrxRA,Another Dawn,0.0774,0.595,196985,0.866,0.55,2,0.112,-8.219,1,0.0339,121.999,4,0.0346,0,0.111,0.844,1,0.47619,184.57542,Chill
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,0OlS52TmtK2gPaEtdmr7DN,No Such Thing as a Broken Heart,0.295,0.651,176893,0.782,0,8,0.107,-4.295,1,0.0718,171.987,4,0.945,0.631,0.763,0.322,1,1.02154,174.71855,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,7qGzlqZnl6j8qccvV70PhL,Emily,0.0137,0.581,201658,0.519,0.0000686,8,0.0808,-6.649,1,0.0946,83.998,4,0.267,0.541,0.565,0.178,1,0.17896,198.17651,Angry
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,6Drks6dbqYCZ303NPH4c6T,The Letter,0.0111,0.729,235436,0.621,0.938,7,0.0656,-14.886,0,0.042,126.015,4,0.322,0.693,0.753,1,0.981,0,225.46576,Chill
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,6pMR5gZyVQQFIzh0NAvX41,4 X 4 Play,0.047,0.731,201711,0.84,0,7,0.0532,-5.224,1,0.0282,93.987,4,0.775,0.719,0.499,0.202,1,0,199.36073,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,3PVczFr0abPSkgcwjXJJDh,Let You Know,0.242,0.61,173167,0.571,0.21,5,0.228,-9.432,1,0.0395,89.769,4,0.147,0.701,0.502,0.626,1,0.17397,167.89769,Chill
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,2BKcZtKFDWpvRkmr25EMNK,More Than I Know,0.0279,0.66,168591,0.917,0,4,0.377,-3.667,0,0.053,107.075,4,0.654,0.609,0.614,0.824,0.95,0,164.16508,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,5SFXOMJJ334Wn2PwBHeRZN,Girls Like Us,0.288,0.444,189000,0.648,0,1,0.059,-4.955,1,0.0476,125.706,5,0.171,0.631,0.622,0,1,0.20336,185.75964,Angry
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,6mBlft6IhCJwPNKhnbb0wK,The Bull,0.00799,0.741,189160,0.693,0.00000503,7,0.0896,-6.326,1,0.0575,122.981,4,0.702,0.39,0.5,0.917,0.978,0.20308,178.24799,Energetic
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,0Utg7sirTPqrs6Cx0FbriQ,Chillin' It,0.511,0.576,196747,0.849,0.0000389,9,0.109,-3.057,1,0.0386,137.982,4,0.666,0.657,0.567,0.843,0.817,1.07102,191.51237,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,1A6gT680oQr98VtDkNzys7,24/5,0.403,0.559,158221,0.763,0,0,0.127,-4.16,1,0.105,91.069,4,0.349,0.483,0.602,0.593,0.938,0.20331,149.2811,Angry
